text,etiket
Yarın da çalışıyorum pazarteside çalışıyorum canım burnumda dedikleri havadayım çok yorgunum çok,intihara meyilli
Artik umurumda olmaz kim bana ne demis ne dememis ne tur kafadaysam o kafada bir sey icerim tertemiz kendime gelirim allah belasini versin beni bu raddeye getirenlerin terrrrtemizdim tertemiz,intihara meyilli
Canımı yakan bir kaç detay var ve ben halledemiyodum,intihara meyilli
yazık bize ya gencecik yaşımızda hasta ettiler hepimizi,intihara meyilli
Sen hiç ‘hiç’ oldun mu?,intihara meyilli
Ne kadar çok olumlu düşünmek istesem de olumsuz olan daha çok şey çıkıyor,intihara meyilli
"Uzak düşmüşüm kendimden , aklım , fikrimden . yaşamak istemedim ",intihara meyilli
Yooo şans verseler bugün bile yok olmak isterim,intihara meyilli
"Sevgi göstermek için hep son anları bekliyorsunuz; hastane koridorlarını, siren öncesini, veda vaktini ama ölümün son anı yok. O ansızın gelecek yüreğinize binen pişmanlık hiçbir şeye fayda etmeyecek.",intihara meyilli
"Ben imkansız aşklar için yaratılmışım, ne kavuşmayı bilirim ne unutmayııı",intihara meyilli
Kalmadı bulanmadık yer kafamda   Paranoyalarım her zaman var,intihara meyilli
Valla boşa çabalıyorum ben cidden bir gün çekip gidicem her yerden en sonunda o olacak,intihara meyilli
herkesin gecesi kendi yarası kadar derin ve sızılı,intihara meyilli
Valla kafayı yiyeceğim artık bir insanın hep mi ne istese tam tersi olur ya nasıl bir lanet var üstümde,intihara meyilli
garson: başka bir arzunuz var mı?   ben: yaşama sevinci.,intihara meyilli
Ait olduğum yer uçurumun dibi !,intihara meyilli
"Şimdi öyle uzak ki geldiğim yollar,   Yanlış bir öyküdeyim beni yeniden yaz..",intihara meyilli
"Ben tanıyorum onları! Abimin hayatını söndürdüler, ocağımıza incir ağacı diktiler. Annemle babamdan, kardeşlerinden ayırdılar abimi, en sonunda meczup edip hayatını kararttılar.",intihara meyilli
1 hafta sonra gidiyorum sizinde dostluğunuzunda sevginizinde şehrinizinde içine tükürim,intihara meyilli
“Birazdan hava aydınlanacak. Bu işe en çok yanmayan o patlak sokak lambası sevinecek. Kendini gereksiz hissetmenin nasıl bir his olduğunu bilirsin.”,intihara meyilli
yaşadığımızı unutmak için   ne kadar çok şey yaşıyoruz,intihara meyilli
güvendikçe neden bittiğini sorgula. ölü bir insana kimi sevdiği sorulmaz.,intihara meyilli
Günüm gene bok gibi geçiyor çok şükür,intihara meyilli
"Bir insanı paramparça ederek sevemezsiniz, bunu öğrenin.",intihara meyilli
"Kafamı dağıtmak için film izliyorum başrol ölüyor, kafamı dağıtmak, biraz da olsa düşünmemek için kitap okuyorum ana karakter ölüyor.    Harika dağıtıyorum kafamı gerçekten.",intihara meyilli
HAYATIM ÇOK SÜRÜKLEYİCİ AMA YERLERDE,intihara meyilli
Gün yüzü görememek de miyopluğa dahil mi?,intihara meyilli
Ya benim otobüsteki tutamaçlara boyum yetmiyor hayata nasıl tutunayım,intihara meyilli
Hayat efso yordu beyler. Haplanıp haplanıp şarkı dinlemek istiyorum şu sıralar sadece.,intihara meyilli
Masa başına oturup derslere mi gömülsem yoksa deniz manzaralı bir mezara mı ikilemi...,intihara meyilli
Ben yokken planladınız. Ben yokken yaşadınız. Benim haberim bile olmadan hayatımı bitirdiniz.Neler olup bittiğini anlatacak kadar yüreğiniz bile yok ulan.  Ama koskocaman bir ah aldınız. Hiç birinize zerre hakkımı helal etmiyorum. Kininizde boğulun. Bitti. Sikeee sikeee bitti !,intihara meyilli
Sürekli değişen ruh hali ile yaşamak beni çok yoruyor,intihara meyilli
"Telefonumu sıfırladım da numaralı kayıt ederken eski konuşmalara  baktım WP'den, ben hazırlıkta mutlu insanmışım. İyi niyete olan inancım, insanlara güvencim hepsi yok olmuş. Gerçi iyi de olmuş. Bu RUHSUZlaşmamın tek sebebi  ise küfüre bile layık olmayan şerefsiz bir arkadaş.....",intihara meyilli
"Sıkılıyorum herkesten sıkılıyorum, en cok kendimden sıkılıyorum, tahammül seviyem yerin en diplerinde, en çok da kendime tahammül edemiyorum",intihara meyilli
ben mi öleyim yoksa ateş edecek misin,intihara meyilli
Artık hiçbir olaya iyi tarafından bakmıyorum hep en kötüsünü düşünüyorum biraz da böyle deniyim,intihara meyilli
Günaydın herkese hayırlı sabahlar diliyorum ,intihara meyilli
"Kolay değil intihar, geride kalanlara yüklenir acılar...",intihara meyilli
Her akşam hava bozuyor tıpkı benim gibi,intihara meyilli
Nefretime boyun eğdiğim için karanlığa gidiyorum sanırım .,intihara meyilli
"Artık bazı yolların dönüşü, bazı hataların özrü, bazı insanların ne imkanı ne anlamı var",intihara meyilli
Doğru giden birşey yok ki,intihara meyilli
Umutsuz ve mutsuzuz bu hep böyle devam ediyor,intihara meyilli
"Verilen her özellik için dünyada sürünülecek vakit fazlalaşır.   Yazı yazmayı kolay sananlar var.   Oysa,    Yaralanmış ete iyi olmasına fırsat vermeden defalarca tırnak batırmanın acısı çekilir midir?   İşte benim yüreğime zamansızca çivi niyetine arsenikli sözcükler çakılıyor.",intihara meyilli
"Ne zaman ,nerede,ve nasıl olursa olsun,ben bu dünyadan sana kırgın ayrılacağım.",intihara meyilli
"Yok oluyor fotoğraflar, yok oluyor anılar ve sonunda hiç oluyor o insan.",intihara meyilli
Her gün kötü haber alıyorum resmen,intihara meyilli
amınakoyim hepinizden nefret ediyom bunu da söylemek istedim,intihara meyilli
Sıçtık..Sıçtık biz..Teorik olarak da sıçtık..,intihara meyilli
"Zıkkımın kökünü yesinler. Haram zehir zıkkım olsun bunca milleti aç açık bırak  bir yudum suyu çok gör, masumları hücrelere doldur. Yerin dibine batsın sizin müslümanlığınız insanlığınız. Haram olsun burnunuzdan fitir fitir gelsin kan kusun inşallah. Kan kusturuyorsunuz.",intihara meyilli
Şimdi sana anlatsam anlamıcan o yüzden boşver,intihara meyilli
öyle bıktım ki anlatamamaktan ve anlaşılmamaktan,intihara meyilli
Kötülüğü yapan sizsiniz beni tükettiniz...,intihara meyilli
"İyiler erken ölür derler,ne zaman ölecegimi bilmiyorum ama sizden önce öleceğim kesin..      Diriyken ne hayrınız oldu AMK kimle ne bok pis işiniz varsa görün benden uzak olunda.",intihara meyilli
"Canın sıkıldığında gidip keyfin istediğinde geldiğin için senden, seni her defasında kabul ettiğim için kendimden nefret ediyorum. Umarım uykusuz geçirdiğim öldüğüm her gecenin bedelini ödersin.",intihara meyilli
Şimdi Çıkin Balkona Bir Sigara Daha Yakın Acıdan  Gebersenizde  Gerçekleşmeyecek  HAYALLERİNİZİN Şerefine.....,intihara meyilli
2019 senesi çok şey aldın benden siktir git artık,intihara meyilli
anlatacak çok şey var da nasıl olsa anlıyorum deyip anlamayacağınız için gerek duymuyorum anlatmaya,intihara meyilli
otobüsü 10 saniyeyle kaçırdım    derse geç kalacağım   o dersten devamsızlık hakkım çoktan bitti   karnım aç   param yok   daha sikik bir sabah mümkün mü ya kafayı yicem,intihara meyilli
16. yaş çöp amk bok çıktı xndjxknd,intihara meyilli
"Aklından çıkmayan tonlarca şey varken bazı şeyleri görmeye devam etmek.. ne bileyim gelde nefretle dolma, birşeyler için it gibi pişman olma. Aslında bazı şeylerin gerçek olmasını o kadar çok isterdim ki, lanet olsun.",intihara meyilli
Gele gele dünyanın karanlık çağında dünyaya gelmek... ZULÜM AQ,intihara meyilli
Yaklaşık üç saat önce yatıyorum yatayım da bitsin bu boktan gün iyi geceler,intihara meyilli
elveda zalim dünya,intihara meyilli
"""şu yaşamda yeni bir şey değil ki ölüm,ama pek öyle yeni sayılmaz yaşamak da...""",intihara meyilli
içmeyeceksek intihar edelim bari,intihara meyilli
çünkü hayatımı kaybettim.,intihara meyilli
yıkıntılar döküntüye dönüşmeden kaçmak bana göre değildi ama şimdi ölüm zamanı.,intihara meyilli
biz ölmeyi de iyi biliriz..,intihara meyilli
sadece benim dünyada yer edinememiş olmamla ilgili. her şeyin bu denli yanlış olduğunu bilerek devam edemiyorum.,intihara meyilli
"ren nehri kıyısında, 26 yaşında hançeri tam kalbine saplayarak hayatına son veren kırılgan bir alman kadın şairin bıraktığı not:""çok şey öğrenip idrak etmek, sonrasında da erkenden ölmek... gençliğin beni nasıl terk ettiğini görmek istemiyorum.""",intihara meyilli
şu gelen otobüsün altına atlasam çok acı çekmeden bir anda ölür gider miyim...,intihara meyilli
"kişinin kendi ölümünü seçmeden önce dile getirdiği heceler topluluğu.""seni bugün görmek zorundayım. tshirtün bende kaldı. alman lazım""",intihara meyilli
